nohup: ignoring input
14:20:58 INFO chudp: config configs/finetune.toml: {'finetune': {'context': 1024, 'covariates': 'full', 'start': '2025-12-15', 'val_frac': 0.15, 'test_frac': 0.15, 'embargo_bars': 1440, 'trainable': 'all', 'precision': 'fp32', 'loss_scale': 'none', 'lr': 1e-05, 'warmup_steps': 100, 'max_steps': 6400, 'batch_size': 32, 'micro_batch': 8, 'eval_every': 400, 'eval_samples': 16384, 'patience': 0, 'device': 'auto'}}
14:20:58 INFO chudp: resolved config: FinetuneConfig(context=1024, horizon=64, covariates='full', max_ctx_gap_frac=0.01, require_quote_ok=False, start=datetime.date(2025, 12, 15), end=None, val_frac=0.15, test_frac=0.15, val_start=None, test_start=None, embargo_bars=1440, model_id='google/timesfm-3.0-pytorch', device=None, precision='fp32', trainable='all', loss_scale='none', lr=1e-05, min_lr_frac=0.1, weight_decay=0.01, warmup_steps=100, max_steps=6400, batch_size=32, micro_batch=8, grad_clip=1.0, eval_every=400, eval_samples=16384, eval_batch=32, patience=0, log_every=20, seed=0, run_id=None)
14:21:00 INFO chud_predictor.finetune: train targets in [2025-12-19 06:57:00, 2026-06-27 00:00:00): 203750 origins
14:21:00 INFO chud_predictor.finetune: val   targets in [2026-06-28 00:00:00, 2026-08-06 00:00:00): 46580 origins
14:21:00 INFO chud_predictor.finetune: test  targets in [2026-08-07 00:00:00, 2026-09-17 02:00:00): 45708 origins
14:21:00 INFO chud_predictor.model: loading google/timesfm-3.0-pytorch on cuda (AMD Instinct MI300X VF, torch 2.14.0+rocm7.2) (batch 32)
14:21:02 INFO chud_predictor.finetune: trainable parameters: 330.7M of 330.7M (all); 25 variates
14:26:19 INFO chud_predictor.finetune: zero-shot val : pinball_c=9.8416  pinball_c_fan=7.5502  skill_pinball=-0.3035  rmse_c=32.4063  skill_mse=-0.2038  skill_mae=-0.0016  cover80=0.3109  settle_bss_persist=-0.4867
14:26:19 INFO chud_predictor.finetune: zero-shot test: pinball_c=9.5862  pinball_c_fan=7.3704  skill_pinball=-0.3006  rmse_c=31.5975  skill_mse=-0.2142  skill_mae=-0.0238  cover80=0.3184  settle_bss_persist=-0.4575
14:26:49 INFO chud_predictor.finetune: step 20/6400  train_loss=0.10247  grad_norm=0.128  lr=2.00e-06  epoch=1  21.9 origins/s
14:27:15 INFO chud_predictor.finetune: step 40/6400  train_loss=0.09408  grad_norm=0.197  lr=4.00e-06  epoch=1  23.3 origins/s
14:27:41 INFO chud_predictor.finetune: step 60/6400  train_loss=0.09355  grad_norm=0.097  lr=6.00e-06  epoch=1  23.8 origins/s
14:28:07 INFO chud_predictor.finetune: step 80/6400  train_loss=0.08166  grad_norm=0.069  lr=8.00e-06  epoch=1  24.0 origins/s
14:28:32 WARNING chud_predictor.finetune: step 100: non-finite gradient, update skipped (1 so far)
14:28:32 INFO chud_predictor.finetune: step 100/6400  train_loss=0.08290  grad_norm=nan  lr=1.00e-05  epoch=1  24.2 origins/s
14:28:58 INFO chud_predictor.finetune: step 120/6400  train_loss=0.07878  grad_norm=0.071  lr=1.00e-05  epoch=1  24.3 origins/s
14:29:24 INFO chud_predictor.finetune: step 140/6400  train_loss=0.08438  grad_norm=0.084  lr=1.00e-05  epoch=1  24.4 origins/s
14:29:49 INFO chud_predictor.finetune: step 160/6400  train_loss=0.07722  grad_norm=0.067  lr=1.00e-05  epoch=1  24.5 origins/s
14:30:15 INFO chud_predictor.finetune: step 180/6400  train_loss=0.07727  grad_norm=0.086  lr=1.00e-05  epoch=1  24.5 origins/s
14:30:41 INFO chud_predictor.finetune: step 200/6400  train_loss=0.07857  grad_norm=0.078  lr=9.99e-06  epoch=1  24.5 origins/s
14:31:01 WARNING chud_predictor.finetune: step 216: non-finite gradient, update skipped (2 so far)
14:31:07 INFO chud_predictor.finetune: step 220/6400  train_loss=0.07650  grad_norm=0.075  lr=9.99e-06  epoch=1  24.6 origins/s
14:31:32 INFO chud_predictor.finetune: step 240/6400  train_loss=0.07786  grad_norm=0.063  lr=9.99e-06  epoch=1  24.6 origins/s
14:31:58 INFO chud_predictor.finetune: step 260/6400  train_loss=0.07600  grad_norm=0.072  lr=9.99e-06  epoch=1  24.6 origins/s
14:32:24 INFO chud_predictor.finetune: step 280/6400  train_loss=0.07623  grad_norm=0.098  lr=9.98e-06  epoch=1  24.7 origins/s
14:32:49 INFO chud_predictor.finetune: step 300/6400  train_loss=0.07181  grad_norm=0.061  lr=9.98e-06  epoch=1  24.7 origins/s
14:33:15 INFO chud_predictor.finetune: step 320/6400  train_loss=0.08001  grad_norm=0.102  lr=9.97e-06  epoch=1  24.7 origins/s
14:33:41 INFO chud_predictor.finetune: step 340/6400  train_loss=0.07645  grad_norm=0.071  lr=9.97e-06  epoch=1  24.7 origins/s
14:34:06 INFO chud_predictor.finetune: step 360/6400  train_loss=0.07605  grad_norm=0.083  lr=9.96e-06  epoch=1  24.7 origins/s
14:34:32 INFO chud_predictor.finetune: step 380/6400  train_loss=0.07851  grad_norm=0.065  lr=9.96e-06  epoch=1  24.7 origins/s
14:34:58 INFO chud_predictor.finetune: step 400/6400  train_loss=0.07576  grad_norm=0.058  lr=9.95e-06  epoch=1  24.7 origins/s
14:37:34 INFO chud_predictor.finetune: step 400 val: pinball_c=7.7996  pinball_c_fan=7.5502  skill_pinball=-0.0330  rmse_c=29.9638  skill_mse=-0.0292  skill_mae=-0.0015  cover80=0.7775  settle_bss_persist=-0.0670  *best*
14:38:01 INFO chud_predictor.finetune: step 420/6400  train_loss=0.07603  grad_norm=0.064  lr=9.94e-06  epoch=1  19.2 origins/s
14:38:27 INFO chud_predictor.finetune: step 440/6400  train_loss=0.07480  grad_norm=0.068  lr=9.94e-06  epoch=1  19.4 origins/s
14:38:52 INFO chud_predictor.finetune: step 460/6400  train_loss=0.07894  grad_norm=0.079  lr=9.93e-06  epoch=1  19.6 origins/s
14:39:18 WARNING chud_predictor.finetune: step 480: non-finite gradient, update skipped (3 so far)
14:39:18 INFO chud_predictor.finetune: step 480/6400  train_loss=0.07615  grad_norm=nan  lr=9.92e-06  epoch=1  19.7 origins/s
14:39:44 INFO chud_predictor.finetune: step 500/6400  train_loss=0.07929  grad_norm=0.076  lr=9.91e-06  epoch=1  19.9 origins/s
14:40:09 INFO chud_predictor.finetune: step 520/6400  train_loss=0.07617  grad_norm=0.055  lr=9.90e-06  epoch=1  20.1 origins/s
14:40:35 INFO chud_predictor.finetune: step 540/6400  train_loss=0.07825  grad_norm=0.070  lr=9.89e-06  epoch=1  20.2 origins/s
14:41:01 INFO chud_predictor.finetune: step 560/6400  train_loss=0.07466  grad_norm=0.075  lr=9.88e-06  epoch=1  20.3 origins/s
14:41:27 INFO chud_predictor.finetune: step 580/6400  train_loss=0.07459  grad_norm=0.064  lr=9.87e-06  epoch=1  20.5 origins/s
14:41:52 INFO chud_predictor.finetune: step 600/6400  train_loss=0.07538  grad_norm=0.054  lr=9.86e-06  epoch=1  20.6 origins/s
14:42:18 INFO chud_predictor.finetune: step 620/6400  train_loss=0.07324  grad_norm=0.066  lr=9.85e-06  epoch=1  20.7 origins/s
